sid	name	folder
SBO59T3207	Clorox Spray	Bathroom
SBO59T3212	Paper Towels	Bathroom
SBO59T3211	Room Spray	Bathroom
SBO59T3206	Toilet Bowl Cleaner	Bathroom
SBO59T3205	Toilet Wand	Bathroom
SBO59T3210	Windex Spray	Bathroom
SBO59T3361	Floor Detergent	Cleaning
SBO59T3217	Cat Litter	Family
SBO59T3216	Dog Food	Family
SBO59T3215	Face Towels	Family
SBO59T3214	Qtips	Family
SBO59T3213	Toothpaste	Family
SBO59T3194	Coffee Cups	Kitchen
SBO59T3189	Dish Soap	Kitchen
SBO59T3191	Disposable Cups	Kitchen
SBO59T3190	Disposable Plates	Kitchen
SBO59T3198	Foil Paper	Kitchen
SBO59T3197	Gallon Bags	Kitchen
SBO59T3358	Latex Gloves Medium	Kitchen
SBO59T3359	Latex Gloves Large	Kitchen
SBO59T3360	Latex Gloves XL	Kitchen
SBO59T3196	Quart Bags	Kitchen
SBO59T3195	Sandwich Bags	Kitchen
SBO59T3232	Bandages	Laundry
SBO59T3204	Clorox (bleach)	Laundry
SBO59T3240	Clothes Hangers	Laundry
SBO59T3251	Fabric Refresher Spray	Laundry
SBO59T3253	First Aid Kit	Laundry
SBO59T3264	Hydrogen Peroxide	Laundry
SBO59T3273	Lint Roller	Laundry
SBO59T3292	Rubbing Alcohol	Laundry
SBO59T3300	Stain Remover	Laundry
SBO59T3202	Vinegar	Laundry
SBO59T3314	Wool Dryer Balls	Laundry
SBO59T3220	Air Filters	Maintenance
SBO59T3230	Coffee Machine Filters	Maintenance
SBO59T3227	Descaling Solution	Maintenance
SBO59T3225	Freezer Air Filter	Maintenance
SBO59T3224	Fridge Air Filter	Maintenance
SBO59T3223	Fridge water Filter	Maintenance
SBO59T3362	Furniture Grip Pad	Maintenance
SBO59T3226	Ice Machine Filter	Maintenance
SBO59T3228	Roborock Filters	Maintenance
SBO59T3229	Roborock Mops	Maintenance
SBO59T3222	Black Trash Bags	Outside
SBO59T3219	Bug Poison	Outside
SBO59T3218	Weed Poison	Outside
